timestamp,materialId,materialName,siteId,siteName,stockLevel,consumption,hourOfDay,dayOfWeek,weather,projectType,siteActivityLevel
2024-01-01T00:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,1000,0,0,1,sunny,residential,low
2024-01-01T01:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,1000,0,1,1,sunny,residential,low
2024-01-01T02:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,1000,0,2,1,sunny,residential,low
2024-01-01T03:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,1000,0,3,1,sunny,residential,low
2024-01-01T04:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,1000,0,4,1,sunny,residential,low
2024-01-01T05:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,1000,0,5,1,sunny,residential,low
2024-01-01T06:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,1000,0,6,1,sunny,residential,low
2024-01-01T07:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,1000,5,7,1,sunny,residential,medium
2024-01-01T08:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,995,15,8,1,sunny,residential,high
2024-01-01T09:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,980,20,9,1,sunny,residential,high
2024-01-01T10:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,960,25,10,1,sunny,residential,high
2024-01-01T11:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,935,30,11,1,sunny,residential,high
2024-01-01T12:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,905,15,12,1,sunny,residential,medium
2024-01-01T13:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,890,25,13,1,sunny,residential,high
2024-01-01T14:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,865,30,14,1,sunny,residential,high
2024-01-01T15:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,835,25,15,1,sunny,residential,high
2024-01-01T16:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,810,20,16,1,sunny,residential,medium
2024-01-01T17:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,790,10,17,1,sunny,residential,low
2024-01-01T18:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,780,0,18,1,sunny,residential,low
2024-01-01T19:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,780,0,19,1,sunny,residential,low
2024-01-01T20:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,780,0,20,1,sunny,residential,low
2024-01-01T21:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,780,0,21,1,sunny,residential,low
